HESSI Flare List  (generated  5-Sep-2012 16:47)

Total # flares: 66106  Time range: 12-Feb-2002 21:29:56.000 - 31-Jul-2012 14:38:28.000
 
    Flare     Start time        Peak      End      Dur   Peak     Total      Energy X Pos Y Pos Radial   AR          Flags          
                                                     s    c/s    Counts         keV  asec  asec   asec                              

  7042922 29-Apr-2007 14:39:12 14:40:14 14:42:56   224     68     53770        6-12   334   345    480    0  A0 ES P1 Q1              
  7042923 29-Apr-2007 14:46:24 14:48:18 14:50:04   220     27     27486        6-12  -456  -139    477    0  A0 P1 PE Q1              
  7042933 29-Apr-2007 14:50:04 14:56:34 14:56:40   396    192    157025        6-12  -453  -147    476    0  a0 A1 a3 GE P1 PE Q2     
  7042925 29-Apr-2007 16:43:32 16:44:02 16:45:36   124     26     12264        6-12  -417  -170    450    0  A0 P1                    
  7042926 29-Apr-2007 16:59:24 16:59:54 17:00:36    72     28      9408        6-12  -431   -84    439    0  A0 P1                    
  7042904 29-Apr-2007 19:28:20 19:28:50 19:29:32    72    232     22992         3-6     0     0      0    0  A0 DR PE PS Q2           
  7042927 29-Apr-2007 19:35:28 19:35:58 19:37:40   132     28     14952        6-12  -422  -125    441    0  A0 DR P1 Q1              
  7042934 29-Apr-2007 19:52:36 19:52:50 19:54:12    96     15      7296        6-12   565   352    666    0  A0 P1                    
  7042929 29-Apr-2007 20:04:28 20:08:50 20:15:00   632     36     85392        6-12  -414  -113    430    0  A0 DR P1 Q1              
  7042935 29-Apr-2007 20:17:04 20:17:34 20:18:08    64     26      8304        6-12  -405  -126    424    0  A0 DR P1 Q1              
  7042930 29-Apr-2007 20:22:36 20:23:42 20:25:44   188     34     24240        6-12  -407  -127    426    0  A0 P1                    
  7042932 29-Apr-2007 22:51:40 22:52:10 22:53:24   104     28     12936        6-12  -382   -83    391    0  A0 P1                    
  7043010 30-Apr-2007 00:39:44 00:40:18 00:41:48   124     20     10248        6-12   310   210    375    0  A0 P1                    
  7043001 30-Apr-2007 00:51:12 00:59:10 01:14:08  1376     60    286656        6-12  -379  -140    404  953  A0 DR P1 PE Q2           
  7043011 30-Apr-2007 01:56:56 01:57:46 02:00:48   232     60     57168        6-12  -360  -118    379  953  A0 DR P1 Q1              
  7043038 30-Apr-2007 02:13:12 02:13:38 02:17:00   228     18     19560        6-12  -360  -125    381  953  A0 P1                    
  7043017 30-Apr-2007 04:08:36 04:09:10 04:11:00   144     32     17592        6-12  -336   -94    349  953  A0 P1                    
  7043027 30-Apr-2007 07:24:56 07:25:26 07:27:28   152     28     20688        6-12  -318  -127    343  953  A0 P1                    
  7043028 30-Apr-2007 08:37:12 08:38:14 08:39:48   156     32     19920        6-12  -304  -118    326  953  A0 P1                    
  7043003 30-Apr-2007 10:10:52 10:14:02 10:18:44   472    192    108288       12-25   300   -39    303    0  A0 GS P1 Q1              
  7043029 30-Apr-2007 10:42:04 10:43:26 10:44:56   172     36     25680        6-12  -285  -116    308  953  A0 P1                    
  7043004 30-Apr-2007 11:50:28 11:50:42 11:59:48   560     76    103872        6-12   160   279    322    0  A0 GS P1 Q1              
  7043005 30-Apr-2007 13:06:36 13:07:26 13:08:32   116     68     22704        6-12  -227   -77    240    0  A0 P1                    
  7043039 30-Apr-2007 14:45:36 14:46:26 14:49:20   224     30     34752        6-12  -240  -181    301    0  A0 P1                    
  7043007 30-Apr-2007 14:51:36 14:56:02 14:58:32   416    108    169152         3-6     0     0      0    0  A0 PE PS Q1              
  7043032 30-Apr-2007 15:11:40 15:13:06 15:15:40   240     48     30120        6-12  -239  -102    260    0  A0 DR P1 Q1              
  7043008 30-Apr-2007 15:31:24 15:36:34 15:37:00   336    320    184920       12-25  -233  -165    286  953  A0 EE P1 Q1              
  7043040 30-Apr-2007 18:34:32 18:35:02 18:35:44    72     32     10512        6-12  -214  -101    237    0  A0 DR P1 Q1              
  7043035 30-Apr-2007 18:36:36 18:37:50 18:41:28   292     32     46272        6-12  -218  -134    256    0  A0 DR P1 Q1              
  7043009 30-Apr-2007 18:46:04 18:46:38 18:47:32    88     32     10776        6-12  -197   -92    218    0  A0 P1                    
  7043036 30-Apr-2007 19:32:56 19:33:42 19:34:36   100     32     13968        6-12  -198  -105    225    0  A0 DR P1 Q1              
  7043037 30-Apr-2007 21:29:24 21:30:18 21:34:48   324     24     29736        6-12  -191  -135    234    0  A0 DR P1 Q1              

Notes: 
  Note that only events with non-zero position and energy range not equal to 3-6 keV are confirmed as solar sources.
  Events which have no position and show up mostly in the front detectors, but were not able to be imaged 
    are flagged as "PS".
  Events which do not have valid position are only confirmed to be non-solar if the NS flag is set.
  Peak Rate:  peak counts/second in energy range 6-12 keV, averaged over active collimators, including background.
  Total Counts:  counts in energy range 6-12 keV integrated over duration of flare summed over all subcollimators,
    including background.
  Energy:  the highest energy band in which the flare was observed.
  Radial Distance:  distance from Sun center
  Quality Codes: Qn, where n is the total number of data gap, SAA, particle, eclipse or decimation flags set for event.
    n ranges from 0 to 11.  Use care when analyzing the data when the quality is not zero.

Flare Flag Codes: 
  a0 - In attenuator state 0 (None) sometime during flare
  a1 - In attenuator state 1 (Thin) sometime during flare
  a2 - In attenuator state 2 (Thick) sometime during flare
  a3 - In attenuator state 3 (Both) sometime during flare
  An - Attenuator state (0=None, 1=Thin, 2=Thick, 3=Both) at peak of flare
  DF - Front segment counts were decimated sometime during flare
  DR - Rear segment counts were decimated sometime during flare
  ED - Spacecraft eclipse (night) sometime during flare
  EE - Flare ended in spacecraft eclipse (night)
  ES - Flare started in spacecraft eclipse (night)
  FE - Flare ongoing at end of file
  FR - In Fast Rate Mode
  FS - Flare ongoing at start of file
  GD - Data gap during flare
  GE - Flare ended in data gap
  GS - Flare started in data gap
  MR - Spacecraft in high-latitude zone during flare
  NS - Non-solar event
  PE - Particle event: Particles are present
  PS - Possible Solar Flare; in front detectors, but no position
  Pn - Position Quality: P0 = Position is NOT valid, P1 = Position is valid
  Qn - Data Quality: Q0 = Highest Quality, Q11 = Lowest Quality
  SD - Spacecraft was in SAA sometime during flare
  SE - Flare ended when spacecraft was in SAA
  SS - Flare started when spacecraft was in SAA
