,Date,Quality Rating, Source Loc.,,Previous Image Time,Image Time,Speed,,Direction of Meas.
,,,N/S,E/W,,,Plane-of-Sky,Projected,
,,,,,,,,,
,,,,,,18:36:01,166,171,
124,13-Mar-98,Q3,-16,90,20:51:06,21:01:41,,,N
,,,,,,21:12:45,305,345,
,,,,,,21:23:13,280,282,
,,,,,,21:34:56,108,121,
125,15-Mar-98,Q0,-14,-2,19:11:17,19:34:13,,,N
,,,,,,19:47:43,367,425,
126,27-Mar-98,Q3,31,-50,00:33:05,00:44:01,,,S
,,,,,,01:06:47,210,213,
,,,,,,01:27:17,218,219,
127,16-Apr-98,Q0,-23,-67,20:18:54,20:35:43,,,NW
,,,,,,20:55:57,93,107,
,,,,,,21:05:16,230,243,
,,,,,,21:18:58,157,162,
128,20-Apr-98,Q2,-27,90,09:22:59,09:34:47,,,N
,,,,,,09:57:51,333,off limb,
129,21-Apr-98,Q1,-17,55,06:56:34,07:14:00,,,N
,,,,,,07:39:39,44,46,
,,,,,,08:01:51,37,39,
,,,,,,08:20:41,91,91,
,,,,,,08:32:23,200,210,
130,22-Apr-98,Q2,24,-7,14:23:57,14:40:40,,,S
,,,,,,14:53:50,72,77,
,,,,,,15:09:36,68,70,
131,23-Apr-98,Q4,-21,-90,05:33:35,05:49:21,,,NW
,,,,,,06:01:36,293,402,
,,,,,,06:19:33,195,218,
132,25-Apr-98,Q2,-14,-90,00:53:20,01:19:41,,,N
,,,,,,01:39:53,132,159,
133,25-Apr-98,Q1,-14,-90,14:05:27,14:20:06,,,NW
,,,,,,14:31:59,208,433,
134,25-Apr-98,Q2,-14,-76,18:03:31,18:08:08,,,NW
,,,,,,18:30:24,231,240,
135,27-Apr-98,Q3,-22,-47,07:52:34,08:06:00,,,NW
,,,,,,08:21:01,108,110,
,,,,,,08:36:00,95,96,
,,,,,,08:51:00,237,260,
136,27-Apr-98,Q4,-20,-48,08:51:00,09:05:59,,,NW
,,,,,,09:21:04,360,367,
,,,,,,09:35:52,280,289,
137,29-Apr-98,Q3,-17,-24,05:09:45,05:22:09,,,N
,,,,,,05:36:15,199,215,
,,,,,,05:52:25,180,240,
138,29-Apr-98,Q1,-17,-22,08:03:47,08:18:47,,,NW
,,,,,,08:34:02,176,178,
139,29-Apr-98,Q5,-17,-15,16:02:56,16:18:48,,,NW
,,,,,,16:34:20,194,199,
,,,,,,16:51:55,235,282,
,,,,,,17:03:41,160,266,
,,,,,,17:18:48,74,182,
140,30-Apr-98,Q1,-15,-8,21:36:25,21:52:33,,,NE
,,,,,,22:04:08,259,307,
141,01-May-98,Q0,-17,3,17:26:57,17:44:03,,,N
,,,,,,17:59:32,94,95,
,,,,,,18:17:53,114,118,
142,01-May-98,Q3,-19,3,22:22:53,22:39:54,,,N
,,,,,,22:56:56,220,225,
,,,,,,23:32:55,166,188,
143,02-May-98,Q1 ,-10,12,04:04:35,04:18:55,,,N
,,,,,,04:35:59,82,84,
144,02-May-98,Q2,-19,-7,04:53:39,05:07:52,,,NE
,,,,,,05:22:32,175,180,
145,02-May-98,Q0,-13,12,07:56:07,08:07:53,,,N
,,,,,,08:20:30,175,176,
,,,,,,08:34:33,101,105,
146,02-May-98,Q3 S,-13,19,13:19:46,13:40:12,,,N
,,,,,,14:10:21,296,438,
147,02-May-98,Q1,-23,10,20:25:35,20:37:53,,,NE
,,,,,,20:50:13,137,138,
148,03-May-98,Q0,-23,33,09:47:53,09:59:50,,,SE
,,,,,,10:11:47,176,208,
,,,,,,10:23:41,188,267,
,,,,,,10:35:39,157,223,
149,03-May-98,Q3,-12,35,21:09:24,21:22:37,,,N
,,,,,,21:36:42,319,351,
,,,,,,21:54:16,156,327,
150,05-May-98,Q1,-16,51,08:09:34,08:22:03,,,N
,,,,,,08:36:58,68,68,
,,,,,,08:54:33,34,35,
151,05-May-98,Q2,-15,67,23:23:59,23:36:26,,,N
,,,,,,23:56:10,155,183,
152,06-May-98,Q3 S,-17,68,07:58:28,08:09:58,,,NE
,,,,,,08:22:34,327,359,
,,,,,,08:38:05,139,140,
153,08-May-98,Q2,-14,90,01:57:07,02:08:53,,,E
,,,,,,02:21:27,203,372,
154,08-May-98,Q2 S,-16,90,05:51:14,06:03:02,,,NE
,,,,,,06:18:58,228,362,
,,,,,,06:34:02,242,258, 
155,09-May-98,Q1 S,-16,90,01:44:08,02:03:32,,,NE
,,,,,,02:15:16,188,230,
156,09-May-98,Q2 S,-16,90,03:11:20,03:28:56,,,E
,,,,,,03:42:53,131,343,
,,,,,,04:02:24,221,299,
157,09-May-98,Q2 S,-16,90,19:39:13,20:10:43,,,E
,,,,,,20:23:14,134,296,
,,,,,,20:43:01,246,307,
158,11-May-98,Q1,-16,90,00:51:43,01:17:36,,,N
,,,,,,01:41:09,28,37,
,,,,,,01:57:35,75,81,
159,19-May-98,Q3,26,47,09:32:25,09:54:47,,,S
,,,,,,10:06:30,173,190,
,,,,,,10:18:55,37,39,
160,21-May-98,Q1,26,90,04:16:55,04:35:50,,,S
,,,,,,05:05:52,75,83,
,,,,,,05:18:18,70,77,
,,,,,,05:32:26,104,117,
161,25-May-98,Q3,-16,-42,03:02:12,03:18:01,,,N
,,,,,,03:32:32,121,121,
,,,,,,03:52:12,219,225,
162,27-May-98,Q2,21,61,13:06:45,13:32:29,,,E
,,,,,,13:53:08,227,227,
163,29-May-98,Q0,19,90,21:27:23,22:09:09,,,S
,,,,,,22:21:23,276,off limb,
164,30-May-98,Q0 S,-24,-42,00:50:54,01:16:48,,,N
,,,,,,01:37:32,142,143,
165,03-Jun-98,Q0,15,90,11:32:58,11:55:22,,,S
,,,,,,12:07:06,136,off limb,
166,03-Jun-98,Q2,15,90,22:32:41,23:03:29,,,S
,,,,,,23:18:19,165,off limb,
167,04-Jun-98,Q2,24,-90,08:38:02,08:55:31,,,S
,,,,,,09:09:29,159,off limb,
168,04-Jun-98,Q0,-17,-50,11:17:21,11:31:11,,,NW
,,,,,,11:53:13,205,212,
169,04-Jun-98,Q0,-18,-49,14:51:58,15:03:49,,,NW
,,,,,,15:17:21,418,437,
170,08-Jun-98,Q2,-16,9,16:01:48,16:17:54,,,W
,,,,,,16:33:56,208,241,
,,,,,,16:50:08,157,241,
171,10-Jun-98,Q1,22,64,14:33:27,14:48:27,,,NW
,,,,,,15:00:14,77,off limb,
172,11-Jun-98,Q4,14,-90,09:20:04,09:35:07,,,S
,,,,,,09:59:48,67,off limb,
,,,,,,10:09:31,345,,
,,,,,,10:20:03,784,,
,,,,,,10:34:57,380,,
173,13-Jun-98,Q4,-23,5,15:02:29,15:23:33,,,NW
,,,,,,15:40:08,258,271,
,,,,,,15:53:45,170,207,
174,16-Jun-98,Q1,29,90,04:37:59,04:51:38,,,S
,,,,,,05:02:14,49,off limb,
,,,,,,05:19:16,128,,
,,,,,,05:34:02,221,,
175,16-Jun-98,Q1,-27,90,18:02:18,18:18:56,,,N
,,,,,,18:34:15,342,off limb,
176,17-Jun-98,Q0,22,-30,Possible wave during data dropout between 02:43 and 05:07,,,,
