flare_key	date	begin	begin_m	max	max_m	end	end_m	latitude	longitude	type	area	disk_movie	area_movie
18143	2015-01-12	10:19:00		10:20:00		10:24:00		S18	W52	SF	50	20150112_1009-1024_big.avi	
18144	2015-01-12	10:32:00		10:34:00		10:40:00		S11	E22	SF	15	20150112_1022-1040_big.avi	
18145	2015-01-12	11:07:00	B	11:07:00	B	11:19:00		N08	W25	SF	15	20150112_1056-1119_big.avi	
18146	2015-01-12	12:49:00		12:56:00		13:12:00		N08	W25	SN	60		
18147	2015-01-13	09:33:00		09:34:00		09:35:00		N05	W68	SF	20	20150113_0922-0936_big.avi	
18148	2015-01-13	11:19:00		11:19:00		11:20:00		S18	E14	SF	15		
18149	2015-01-14	08:15:00		08:16:00		08:18:00		S13	W01	SF	25	20150114_0806-0818_big.avi	
18150	2015-01-14	10:38:00		10:44:00		10:55:00		S13	W03	SN	25	20150114_1029-1054_big.avi	
18151	2015-01-14	11:51:00		12:09:00		12:11:00		S18	W00	SF	15	20150114_1141-1156_big.avi	
18152	2015-01-15	13:22:00		13:23:00		13:34:00		N22	E55	SF	15	20150115_1254-1345_big.avi	
18153	2015-01-18	09:04:00		09:05:00		09:07:00		S05	E20	SF	15		
18154	2015-01-26	07:40:00	B	07:43:00		07:58:00		N17	E04	SF	35	20150126_0736-0801_big.avi	
18155	2015-01-26	08:06:00		08:06:00		08:15:00		S08	E34	SF	25	20150126_0808-0821_big.avi	
18156	2015-01-26	08:21:00		08:32:00		08:43:00		N17	E04	SF	30		
18157	2015-01-26	08:54:00		09:06:00		09:11:00		S08	E35	SF	60	20150126_0834-0911_big.avi	
18158	2015-01-26	13:56:00		13:56:00		13:58:00		S16	W05	SF	20		
18159	2015-01-26	13:59:00		14:03:00		14:19:00		S09	E34	SF	25		
18160	2015-01-27	11:20:00		11:23:00		11:24:00		S09	E12	SF	15		
18161	2015-01-28	08:39:00		08:40:00		08:45:00		N08	E82	SF	25	20150128_0828-0849_big.avi	
18162	2015-01-28	13:45:00		13:46:00		13:54:00		S11	E07	SF	25		
18163	2015-01-28	14:12:00		14:13:00		14:14:00		S11	E07	SF	35		
18164	2015-01-29	12:25:00	B	12:25:00	B	12:27:00	D	N10	E72	SB	80	20150129_1211-1230_big.avi	
18165	2015-01-31	07:57:00		08:00:00		08:12:00		S11	W37	SF	70	20150131_0749-0810_big.avi	
18166	2015-01-31	10:42:00		10:49:00		10:58:00		N06	E31	SF	10		
18167	2015-01-31	11:53:00		11:57:00		12:04:00		N08	E33	SF	30		
18168	2015-01-31	14:12:00		14:19:00		14:28:00		N08	E43	SF	35		
18169	2015-02-02	08:11:00		08:11:00		08:12:00		N08	E08	SF	20		
18170	2015-02-02	12:16:00		12:20:00		12:25:00		S08	E62	SF	50		
18171	2015-02-02	13:09:00		13:11:00		13:13:00		S08	E62	SF	20		
18172	2015-02-02	14:28:00		14:33:00		14:41:00		S08	E61	SF	50		
18173	2015-02-03	09:09:00		09:11:00		09:22:00		N07	W02	SF	40	20150203_0858-0921_big.avi	
18174	2015-02-03	09:44:00		09:51:00		09:59:00		S10	E51	SF	70	20150203_0934-0958_big.avi	
18175	2015-02-03	10:39:00		10:41:00	U	11:23:00		N07	W03	SF	60	20150203_1029-1136_big.avi	
18176	2015-02-04	09:08:00		09:24:00	U	09:24:00	D	N08	W14	SF	25	20150204_0911-0924_big.avi	
18177	2015-02-04	10:04:00		10:07:00		10:15:00		N04	W20	SN	40	20150204_0955-1014_big.avi	
18178	2015-02-07	12:18:00		12:21:00		12:28:00		S09	W03	SF	50		
18179	2015-02-07	13:08:00		13:15:00		13:33:00		S07	W02	SF	35		
18180	2015-02-08	08:34:00	B	09:11:00	U	09:43:00		N15	E80	1F	100	20150208_0914-0936_big.avi	
18181	2015-02-08	09:47:00		09:51:00		09:56:00		S06	W16	SF	50	20150208_0932-1000_big.avi	
18182	2015-02-08	10:28:00		10:29:00	D	10:29:00	D	S09	W15	SF	50	20150208_1017-1151_big.avi	
18183	2015-02-10	09:44:00		09:44:00		09:47:00	D	N07	E55	SF	40	20150210_0928-0951_big.avi	
18184	2015-02-10	10:31:00		10:39:00		10:53:00		N07	E52	SF	60		
18185	2015-02-10	13:06:00		13:09:00		13:14:00		N07	E52	SF	60		
18186	2015-02-11	11:31:00		11:37:00		11:48:00		N06	E36	SF	50	20150211_1121-1143_big.avi	
18187	2015-02-12	12:06:00	B	12:12:00		12:37:00		N07	E28	SF	50	20150212_1149-1309_big.avi	
18188	2015-02-12	13:53:00		13:53:00		13:55:00		N07	E20	SF	15		
18189	2015-02-12	14:04:00		14:12:00		14:22:00		N06	E19	SF	60	20150212_1355-1428_big.avi	
18190	2015-02-13	09:52:00		09:53:00		09:54:00		N07	E13	SF	10		
18191	2015-02-13	14:54:00		15:00:00		15:13:00	D	N07	E04	SF	15	20150213_1446-1541_big.avi	
18192	2015-02-14	12:30:00		12:38:00		12:50:00		N15	W03	SF	65		
18193	2015-02-19	08:43:00		08:48:00		09:04:00		N19	E67	SF	25	20150219_0830-0858_big.avi	
18194	2015-02-19	09:38:00		09:42:00		09:50:00		N13	E17	SF	20	20150219_0931-0950_big.avi	
18195	2015-02-20	12:11:00		12:11:00		12:20:00		N14	W28	SF	40		
18196	2015-02-28	09:04:00		09:48:00		10:42:00		S13	W16	1N	220	20150228_0848-1018_big.avi	
18197	2015-02-28	09:36:00		09:40:00		09:44:00		N19	W59	SF	25	20150228_0848-1018_big.avi	
18198	2015-03-03	07:46:00		07:49:00		08:02:00		S09	W49	SF	20		
18199	2015-03-04	09:12:00		09:15:00		09:19:00	D	N06	W30	SF	20	20150304_0901-0920_big.avi	
18200	2015-03-04	09:52:00		10:32:00	U	10:42:00	D	S09	W64	SF	40	20150304_0942-1100_big.avi	
18201	2015-03-05	13:20:00		13:27:00		13:38:00		S09	E41	SF	40		
18202	2015-03-06	11:50:00	B	11:56:00		12:16:00		S09	E28	SF	30		
18203	2015-03-08	09:13:00		09:25:00		09:42:00		S12	E56	SF	80	20150308_0853-1012_big.avi	
18204	2015-03-08	14:41:00		14:42:00		14:46:00		S14	E59	SF	40		
18205	2015-03-09	06:45:00	B	06:45:00	B	06:55:00		S19	E47	SF	35	20150309_0558-0656_big.avi	
18206	2015-03-09	07:30:00		07:30:00		07:32:00		S15	E51	SF	30	20150309_0719-0732_big.avi	
